Home,Away,HomeScore,AwayScore,Round,Date
Partizan,Maccabi Tel Aviv,98,75,19,03.01. 21:30
Panathinaikos,Virtus Bologna,111,90,19,03.01. 21:15
Paris,Barcelona,79,90,19,03.01. 21:15
Fenerbahce,Anadolu Efes,84,76,19,03.01. 19:45
Baskonia,Crvena zvezda,73,75,19,02.01. 21:30
Alba Berlin,Monaco,90,105,19,02.01. 21:00
Lyon-Villeurbanne,Olimpia Milano,66,75,19,02.01. 21:00
Zalgiris Kaunas,Olympiacos,85,92,19,02.01. 20:00
Barcelona,Crvena zvezda,74,78,18,27.12. 21:30
Baskonia,Paris,94,81,18,27.12. 21:30
Bayern,Panathinaikos,69,80,18,27.12. 21:30
Partizan,Fenerbahce,90,81,18,27.12. 21:30
Virtus Bologna,Lyon-Villeurbanne,83,69,18,27.12. 21:30
Olimpia Milano,Olympiacos,83,84,18,26.12. 21:30
Maccabi Tel Aviv,Zalgiris Kaunas,95,78,18,26.12. 21:05
Alba Berlin,Real Madrid,69,80,18,26.12. 20:00
Monaco,Anadolu Efes,94,75,18,26.12. 20:00
Olimpia Milano,Bayern,78,79,17,20.12. 22:00
Crvena zvezda,Maccabi Tel Aviv,81,73,17,20.12. 21:30
Olympiacos,Alba Berlin,90,85,17,20.12. 21:15
Virtus Bologna,Barcelona,86,81,17,20.12. 21:00
Zalgiris Kaunas,Lyon-Villeurbanne,72,78,17,20.12. 20:00
Anadolu Efes,Partizan,86,77,17,20.12. 19:30
Real Madrid,Monaco,94,72,17,19.12. 21:45
Panathinaikos,Baskonia,104,69,17,19.12. 19:45
Paris,Fenerbahce,83,87,17,03.03. 21:30
Olympiacos,Virtus Bologna,87,77,16,18.12. 21:15
Anadolu Efes,Crvena zvezda,89,67,16,18.12. 19:30
Alba Berlin,Zalgiris Kaunas,66,86,16,17.12. 21:45
Partizan,Lyon-Villeurbanne,79,82,16,17.12. 21:45
Barcelona,Fenerbahce,90,63,16,17.12. 21:30
Paris,Real Madrid,85,96,16,17.12. 21:30
Panathinaikos,Olimpia Milano,103,74,16,17.12. 21:15
Maccabi Tel Aviv,Baskonia,85,95,16,17.12. 21:05
Monaco,Bayern,93,74,16,17.12. 20:00
Lyon-Villeurbanne,Paris,98,93,15,13.12. 22:00
Barcelona,Olimpia Milano,81,94,15,13.12. 21:30
