,TEAM_A,TEAM_B,A_SCORE,B_SCORE,AQ1,BQ1,AQ2,BQ2,AQ3,BQ3,AQ4,BQ4,A_OT,B_OT
17.10. 20:30,Alba Berlin,Fenerbahce,71,78,16,15,15,23,16,20,24,20,,
Round 3,,,,,,,,,,,,,,
16.10. 21:30,Barcelona,Monaco,86,71,26,18,21,21,24,15,15,17,,
15.10. 21:45,Partizan,Bayern,86,78,24,15,25,17,22,20,15,26,,
15.10. 21:30,Baskonia,Real Madrid,76,72,16,18,20,17,12,17,28,20,,
15.10. 21:30,Paris,Panathinaikos,84,80,21,19,24,20,24,20,15,21,,
15.10. 21:30,Virtus Bologna,Zalgiris Kaunas,68,71,15,16,15,28,22,16,16,11,,
15.10. 21:15,Olympiacos,Olimpia Milano,89,68,23,17,16,10,24,21,26,20,,
15.10. 21:05,Maccabi Tel Aviv,Anadolu Efes,93,91,23,24,29,28,20,22,21,17,,
15.10. 20:45,Fenerbahce,Crvena zvezda,57,76,12,26,19,12,11,16,15,22,,
